@timestamp,agent.type,destination.bytes,destination.ip,destination.port,event.type,host.ip,host.os.version,network.packets,network.transport,network.type,source.ip,source.port
"Oct 23, 2022 @ 22:52:00.000",packetbeat,259.2KB,172.16.0.5,9200,connection,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),"2,214",tcp,ipv4,172.16.0.4,54032
"Oct 23, 2022 @ 22:51:50.802",packetbeat,445.9KB,172.16.0.5,9200,connection,172.16.0.2,8 (jessie),"6,102",tcp,ipv4,172.16.0.2,49930
"Oct 23, 2022 @ 22:51:50.003",packetbeat,252.8KB,172.16.0.5,9200,connection,172.16.0.3,22.04.1 LTS (Jammy Jellyfish),"2,151",tcp,ipv4,172.16.0.3,41484
"Oct 23, 2022 @ 22:51:50.003",packetbeat,472.8KB,172.16.0.5,9200,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),"6,645",tcp,ipv4,172.16.0.9,44870
"Oct 23, 2022 @ 22:51:50.000",packetbeat,258.7KB,172.16.0.5,9200,connection,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),"2,210",tcp,ipv4,172.16.0.4,54032
"Oct 23, 2022 @ 22:51:40.801",packetbeat,445.5KB,172.16.0.5,9200,connection,172.16.0.2,8 (jessie),"6,098",tcp,ipv4,172.16.0.2,49930
"Oct 23, 2022 @ 22:51:40.003",packetbeat,472.4KB,172.16.0.5,9200,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),"6,641",tcp,ipv4,172.16.0.9,44870
"Oct 23, 2022 @ 22:51:40.002",packetbeat,252.4KB,172.16.0.5,9200,connection,172.16.0.3,22.04.1 LTS (Jammy Jellyfish),"2,147",tcp,ipv4,172.16.0.3,41484
"Oct 23, 2022 @ 22:51:40.000",packetbeat,258.2KB,172.16.0.5,9200,connection,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),"2,206",tcp,ipv4,172.16.0.4,54032
"Oct 23, 2022 @ 22:51:30.802",packetbeat,445KB,172.16.0.5,9200,connection,172.16.0.2,8 (jessie),"6,094",tcp,ipv4,172.16.0.2,49930
"Oct 23, 2022 @ 22:51:30.005",packetbeat,471.9KB,172.16.0.5,9200,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),"6,637",tcp,ipv4,172.16.0.9,44870
"Oct 23, 2022 @ 22:51:30.003",packetbeat,251.9KB,172.16.0.5,9200,connection,172.16.0.3,22.04.1 LTS (Jammy Jellyfish),"2,143",tcp,ipv4,172.16.0.3,41484
"Oct 23, 2022 @ 22:51:30.000",packetbeat,257.7KB,172.16.0.5,9200,connection,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),"2,202",tcp,ipv4,172.16.0.4,54032
"Oct 23, 2022 @ 22:51:20.801",packetbeat,444.5KB,172.16.0.5,9200,connection,172.16.0.2,8 (jessie),"6,090",tcp,ipv4,172.16.0.2,49930
"Oct 23, 2022 @ 22:51:20.003",packetbeat,471.4KB,172.16.0.5,9200,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),"6,633",tcp,ipv4,172.16.0.9,44870
